Message ID,Received At,Processed At,Task ID,Error Rate,Date,Detailed Report,,,,,,,,,,,,,,,,,,,
850866920d18dfdd76601cdf1b6af15c,2018-05-27T17:03:39+00:00,2018-05-27T17:03:44+00:00,5a84619e6d19a2003cedc86f,37.93%,"Tue, May 22, 2018 at 6:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180205_210012_00004/9262.0_9292.0/qa_report.json,,,,,,,,,,,,,,,,,,,
f4df4bb82f8efabf2f48fc0dcff29be9,2018-05-27T17:03:47+00:00,2018-05-27T17:03:52+00:00,5a72ec218cbc900014aa88fa,23.10%,"Tue, May 22, 2018 at 5:40 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180126_141816_00004/1040.0_1070.0/qa_report.json,,,,,,,,,,,,,,,,,,,
22ccd3ba16fcae3b0188967f406bfea8,2018-05-27T17:03:55+00:00,2018-05-27T17:04:02+00:00,5ad6b7dc2a50230027d594fa,15.96%,"Tue, May 22, 2018 at 5:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180416_201751_00004/4131.0_4161.0/qa_report.json,,,,,,,,,,,,,,,,,,,
a0bbcdcfc8f0efca9535035800c1494e,2018-05-27T17:04:03+00:00,2018-05-27T17:04:08+00:00,5ad52b83c8fc05004327a23c,15.37%,"Tue, May 22, 2018 at 4:10 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180413_203312_00005/4231.0_4261.0/qa_report.json,,,,,,,,,,,,,,,,,,,
187e3cb5dc65da500819b68a9053f041,2018-05-27T17:04:28+00:00,2018-05-27T17:04:33+00:00,5ad3522019522c0014eecd42,15.36%,"Tue, May 22, 2018 at 2:35 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180312_212626_00005/1221.0_1251.0/qa_report.json,,,,,,,,,,,,,,,,,,,
b512f5bda7eb95489e272f6e40ffd66a,2018-05-27T17:04:25+00:00,2018-05-27T17:04:33+00:00,5ad768b952c62e00199ec216,15.80%,"Fri, May 25, 2018 at 10:49 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180327_223224_00004/2182.0_2212.0/qa_report.json,,,,,,,,,,,,,,,,,,,
9535169b7730c35c10c6a32b26a59e42,2018-05-27T17:04:36+00:00,2018-05-27T17:04:40+00:00,5afc0f16ae3e8b002e981687,21.32%,"Tue, May 22, 2018 at 2:10 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180509_170501_00020/2978.0_3008.0/qa_report.json,,,,,,,,,,,,,,,,,,,
40f2b56bcd679c2d8c7c1bf1d84c37d6,2018-05-27T17:04:44+00:00,2018-05-27T17:04:50+00:00,5ab3b3d95aaab40035e949a3,4.96%,"Tue, May 22, 2018 at 1:35 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180320_144106_00003/5561.0_5591.0/qa_report.json,,,,,,,,,,,,,,,,,,,
f349baf74522b4c33fbeb27991cc497d,2018-05-27T17:04:52+00:00,2018-05-27T17:04:55+00:00,5aa08115027c870035190e5a,25.04%,"Tue, May 22, 2018 at 11:45 AM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180302_140318_00005/918.0_948.0/qa_report.json,,,,,,,,,,,,,,,,,,,
18dfffd8ee7524e64c16ad366a9446ac,2018-05-27T17:04:52+00:00,2018-05-27T17:04:55+00:00,5ad8bac79f03eb003c4f7d1b,20.58%,"Tue, May 22, 2018 at 1:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180403_133210_00002/2272.0_2302.0/qa_report.json,,,,,,,,,,,,,,,,,,,
9894e69e91b12a9aede7c44ccdc89e01,2018-05-27T17:05:02+00:00,2018-05-27T17:05:05+00:00,5ad819a1a7fb53004315db0b,10.05%,"Mon, May 21, 2018 at 7:30 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180330_222308_00003/2022.0_2052.0/qa_report.json,,,,,,,,,,,,,,,,,,,
db216aa641c0af87c99e9bf91ffd5ac4,2018-05-27T17:05:02+00:00,2018-05-27T17:05:05+00:00,5abcc52960edfc002ef65201,6.64%,"Mon, May 21, 2018 at 6:30 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180316_142309_00003/1499.0_1529.0/qa_report.json,,,,,,,,,,,,,,,,,,,
be725d9336888341b2c0d3db0e12fd81,2018-05-27T17:05:08+00:00,2018-05-27T17:05:14+00:00,5a7558e5262e6f002e37c9c3,29.59%,"Mon, May 21, 2018 at 1:35 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180109_131745_00005/3316.0_3346.0/qa_report.json,,,,,,,,,,,,,,,,,,,
26184d3fd6276956efccbd6651c90746,2018-05-27T17:05:14+00:00,2018-05-27T17:05:21+00:00,5a7f047ecdbd0b003535678f,28.10%,"Mon, May 21, 2018 at 8:45 AM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180109_131745_00005/2994.0_3024.0/qa_report.json,,,,,,,,,,,,,,,,,,,
a0411c8b3e60a17566493eb2220823ac,2018-05-27T17:05:22+00:00,2018-05-27T17:05:26+00:00,5ab04d2fcbc4510041e9a48a,17.06%,"Sun, May 20, 2018 at 5:05 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180316_142642_00002/1984.0_2014.0/qa_report.json,,,,,,,,,,,,,,,,,,,
d2e6020da450f6955a9b843d4edfbd4f,2018-05-27T17:05:30+00:00,2018-05-27T17:05:40+00:00,5acace93745f20003ca3ad30,14.80%,"Sun, May 20, 2018 at 4:50 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180216_083609_00003/1811.0_1841.0/qa_report.json,,,,,,,,,,,,,,,,,,,
